name,author
The Ministry for the Future,Kim Stanley Robinson
Behave,Robert M. Sapolsky
Range,David Epstein
Salt,Mark Kurlansky
Good Strategy Bad Strategy,Richard Rumelt
The Anarchy,William Dalrymple
Empire of Pain,Patrick Radden Keefe
The Culture Map,Erin Meyer
Sapiens,Yuval Noah Harari
Homo Deus,Yuval Noah Harari
21 Lessons for the 21st Century,Yuval Noah Harari
Flash Boys,Michael Lewis
The Undoing Project,Michael Lewis
The Premonition,Michael Lewis
Going Infinite,Michael Lewis
Shoe Dog,Phil Knight
Who Is Michael Ovitz?,Michael Ovitz
A Farewell to Arms,Ernest Hemingway
Ringworld's Children,Larry Niven
The Ringworld Engineers,Larry Niven
Ringworld,Larry Niven
The Forever War,Joe Haldeman
The Code Breaker,Walter Isaacson
The Player of Games,Iain M. Banks
How to Avoid a Climate Disaster,Bill Gates
Stand on Zanzibar,John Brunner
Consider Phlebas,Iain M. Banks
Money: The True Story of a Made-Up Thing,Jacob Goldstein
The Innovators,Walter Isaacson
The Years of Rice and Salt,Kim Stanley Robinson
Blue Mars,Kim Stanley Robinson
Aurora,Kim Stanley Robinson
Green Mars,Kim Stanley Robinson
A Promised Land,Barack Obama
A Memory Called Empire,Arkady Martine
A Desolation Called Peace,Arkady Martine
Rhythm of War,Brandon Sanderson
Oathbringer,Brandon Sanderson
Words of Radiance,Brandon Sanderson
The Way of Kings,Brandon Sanderson
Death's End,Cixin Liu
American Prometheus,Kai Bird
Earth Afire,Orson Scott Card
Earth Unaware,Orson Scott Card
The Extraordinary Life of Sam Hell,Robert Dugoni
Children of the Mind,Orson Scott Card
Xenocide,Orson Scott Card
Ender in Exile,Orson Scott Card
Speaker for the Dead,Orson Scott Card
Redshirts,John Scalzi
The Collapsing Empire,John Scalzi
The Stone Sky,N. K. Jemisin
The Fated Sky,Mary Robinette Kowal
The Calculating Stars,Mary Robinette Kowal
Once Upon a Time in Russia,Ben Mezrich
A Peace to End All Peace,David Fromkin
The Obelisk Gate,N. K. Jemisin
The Fifth Season,N. K. Jemisin
Artemis,Andy Weir
All Systems Red,Martha Wells
Pandora's Star,Peter F. Hamilton
Judas Unchained,Peter F. Hamilton
The Dreaming Void,Peter F. Hamilton
The Temporal Void,Peter F. Hamilton
The Evolutionary Void,Peter F. Hamilton
The Abyss Beyond Dreams,Peter F. Hamilton
Night Without Stars,Peter F. Hamilton
A Column of Fire,Ken Follett
World Without End,Ken Follett
The Pillars of the Earth,Ken Follett
The Evening and the Morning,Ken Follett
Sapiens,Yuval Noah Harari
2010: Odyssey Two,Arthur C. Clarke
2061: Odyssey Three,Arthur C. Clarke
3001: The Final Odyssey,Arthur C. Clarke
Revelation Space,Alastair Reynolds
Use of Weapons,Iain M. Banks
Surface Detail,Iain M. Banks
Excession,Iain M. Banks
Look to Windward,Iain M. Banks
The State of the Art,Iain M. Banks
Inversions,Iain M. Banks
Matter,Iain M. Banks
The Hydrogen Sonata,Iain M. Banks
Against a Dark Background,Iain M. Banks
Feersum Endjinn,Iain M. Banks
